Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
acappella.tickets,available,66,6%,10,Entertainment,,,
eighty.tickets,available,66,6%,6,Mathematics,,,
accessary.tickets,available,66,1%,9,"Business,Law,Technology",,,
xii.tickets,available,66,10%,3,Mathematics,,,
astringent.tickets,available,64,1%,10,"Healthcare,Pharmaceuticals",,,
rising.tickets,available,64,18%,6,"Construction,Manufacturing,Real Estate",,,
aflame.tickets,available,64,3%,6,Entertainment,,,
absolved.tickets,available,64,1%,8,"Humanities,Law,Religion",,,
acentric.tickets,available,64,2%,8,Science,,,
nondrinker.tickets,available,64,1%,10,"Health and Fitness,Religion",,,
deviant.tickets,available,64,12%,7,"Medicine,Science",,,
scatty.tickets,available,64,1%,6,"Arts,Entertainment,Media",,,
ccc.tickets,available,64,38%,3,Mathematics,,,
accordant.tickets,available,64,3%,9,"Arts,Entertainment",,,
adagio.tickets,available,64,14%,6,Entertainment,,,
twodozen.tickets,available,62,1%,9,Mathematics,,,
eighteenth.tickets,available,62,1%,10,Mathematics,,,
quartet.tickets,available,62,7%,7,"Arts,Entertainment",,,
orso.tickets,available,62,9%,5,"Business,Media,Technology",,,
accusing.tickets,available,62,1%,8,Law,,,
cumulative.tickets,available,62,2%,10,"Banking,Finance,Insurance",,,
fortyfour.tickets,available,62,6%,10,Mathematics,,,
accrued.tickets,available,62,2%,7,"Banking,Finance,Insurance",,,
pungent.tickets,available,62,1%,7,Food and Beverage,,,
adjuvant.tickets,available,62,5%,8,"Healthcare,Manufacturing,Technology",,,
activation.tickets,available,62,16%,10,"Healthcare,Manufacturing,Technology",,,
longdozen.tickets,available,62,2%,10,Mathematics,,,
roughly.tickets,available,62,3%,7,"Business,Media,Technology",,,
sixteenth.tickets,available,62,1%,9,Mathematics,,,
abo.tickets,available,62,15%,3,Science,,,
ensuant.tickets,available,62,1%,7,"Healthcare,Insurance,Transportation",,,
adoptive.tickets,available,62,1%,8,"Education,Healthcare",,,
chiliad.tickets,available,62,2%,7,Mathematics,,,
wrapped.tickets,available,62,13%,7,"Fashion,Hospitality,Retail",,,
aufait.tickets,available,62,3%,7,"Fashion,Media",,,
admissible.tickets,available,62,1%,10,"Education,Healthcare,Law",,,
troika.tickets,available,62,8%,6,Politics,,,
aborigine.tickets,available,62,1%,9,Humanities,,,
eleventh.tickets,available,62,5%,8,Mathematics,,,
nail.tickets,available,62,16%,4,"Construction,Fashion,General,Retail",,,
playacting.tickets,available,62,1%,10,Entertainment,,,
acidic.tickets,available,62,5%,6,"Food and Beverage,Science",,,
exculpated.tickets,available,62,1%,10,"Humanities,Law,Politics",,,
activistic.tickets,available,62,1%,10,"Humanities,Politics",,,
clx.tickets,available,60,10%,3,Mathematics,,,
adnexal.tickets,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
annexal.tickets,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
cxv.tickets,available,60,4%,3,Mathematics,,,
abstemious.tickets,available,60,0%,10,"Food and Beverage,Health and Fitness,Hospitality",,,
cxx.tickets,available,60,10%,3,Mathematics,,,
eightysix.tickets,available,60,7%,10,Mathematics,,,
adnate.tickets,available,60,1%,6,"Agriculture,Manufacturing,Retail",,,
cxl.tickets,available,60,7%,3,Mathematics,,,
cxlv.tickets,available,60,2%,4,Mathematics,,,
abstainer.tickets,available,60,0%,9,"Health and Fitness,Religion",,,
aboveboard.tickets,available,60,5%,10,"Business,Law",,,
paunchy.tickets,available,60,0%,7,"Health and Fitness,Medicine",,,
clxx.tickets,available,60,3%,4,Mathematics,,,
cxxv.tickets,available,60,1%,4,Mathematics,,,
clxxv.tickets,available,60,1%,5,Mathematics,,,
cxxx.tickets,available,60,4%,4,Mathematics,,,
cautionary.tickets,available,60,1%,10,"Business,Education,Healthcare",,,
idolised.tickets,available,60,1%,8,"Entertainment,Fashion,Retail",,,
abashed.tickets,available,60,1%,7,Humanities,,,
sixty.tickets,available,60,13%,5,Mathematics,,,
tertiary.tickets,available,60,4%,8,Education,,,
thou.tickets,available,60,7%,4,Mathematics,,,
xcl.tickets,available,60,5%,3,Mathematics,,,
octet.tickets,available,60,12%,5,Arts,,,
acceptive.tickets,available,60,1%,9,"Education,Healthcare",,,
clxv.tickets,available,60,1%,4,Mathematics,,,
idolized.tickets,available,60,3%,8,"Entertainment,Fashion,Retail",,,
cxxxv.tickets,available,60,2%,5,Mathematics,,,
clxxx.tickets,available,60,1%,5,Mathematics,,,
tercet.tickets,available,59,2%,6,"Arts,Entertainment,Media",,,
aucourant.tickets,available,58,3%,10,"Fashion,Media",,,
adhoc.tickets,available,58,24%,6,"Business,Engineering,Technology",,,
accretive.tickets,available,58,6%,9,"Banking,Finance,Insurance",,,
alacarte.tickets,available,58,11%,10,Food and Beverage,,,
sixer.tickets,available,58,5%,5,Sports,,,
pentad.tickets,available,58,2%,6,Mathematics,,,
super.tickets,available,58,47%,5,Business,,,
centesimal.tickets,available,58,1%,10,Mathematics,,,
hexad.tickets,available,58,4%,5,Mathematics,,,
linear.tickets,available,58,22%,6,"Engineering,Mathematics,Science",,,
sixtyone.tickets,available,58,3%,9,Mathematics,,,
eighter.tickets,available,58,2%,7,Mathematics,,,
abused.tickets,available,58,5%,6,"Healthcare,Law",,,
actuarial.tickets,available,58,8%,9,"Finance,Insurance,Mathematics",,,
adient.tickets,available,58,4%,6,"Medicine,Science",,,
heptad.tickets,available,58,1%,6,Mathematics,,,
lxxx.tickets,available,58,2%,4,Mathematics,,,
fifth.tickets,available,58,12%,5,Mathematics,,,
abridged.tickets,available,58,4%,8,Media,,,
niner.tickets,available,58,5%,5,Mathematics,,,
offhanded.tickets,available,58,1%,9,Entertainment,,,
closeto.tickets,available,58,3%,8,"Business,Media,Technology",,,
acetic.tickets,available,58,1%,6,"Food and Beverage,Science",,,
cypher.tickets,available,58,29%,6,Mathematics,,,
addible.tickets,available,58,2%,7,"Engineering,Mathematics,Science",,,
abandoned.tickets,available,58,10%,9,"Construction,Real Estate",,,
accoutred.tickets,available,58,1%,9,"Fashion,Manufacturing,Retail",,,
abuzz.tickets,available,58,5%,5,"Entertainment,Media,Technology",,,
twelfth.tickets,available,58,2%,7,Mathematics,,,
octad.tickets,available,58,5%,5,Mathematics,,,
adjustive.tickets,available,58,1%,9,"Manufacturing,Retail,Technology",,,
lxxviii.tickets,available,58,1%,7,Mathematics,,,
addressed.tickets,available,58,3%,9,"Business,Technology,Telecommunications",,,
tetrad.tickets,available,58,5%,6,Mathematics,,,
acyclic.tickets,available,58,4%,7,"Engineering,Mathematics,Science",,,
seventy.tickets,available,58,7%,7,Mathematics,,,
fourth.tickets,available,58,13%,6,Mathematics,,,
justabout.tickets,available,58,3%,10,"Business,Media,Technology",,,
fourscore.tickets,available,58,4%,9,Mathematics,,,
accented.tickets,available,58,3%,8,"Arts,Entertainment",,,
seven.tickets,available,58,36%,5,Mathematics,,,
quintet.tickets,available,58,8%,7,"Arts,Entertainment",,,
sextuplet.tickets,available,58,1%,9,Healthcare,,,
ache.tickets,available,58,7%,4,Healthcare,,,
enwrapped.tickets,available,58,0%,9,"Entertainment,Fashion,Media",,,
lvi.tickets,available,56,8%,3,Mathematics,,,
fortysix.tickets,available,56,3%,9,Mathematics,,,
xxxii.tickets,available,56,1%,5,Mathematics,,,
xxiii.tickets,available,56,5%,5,Mathematics,,,
fiftyfive.tickets,available,56,7%,10,Mathematics,,,
triad.tickets,available,56,15%,5,Arts,,,
terzetto.tickets,available,56,3%,8,Arts,,,
aone.tickets,available,56,15%,5,Food and Beverage,,,
admittible.tickets,available,56,1%,10,"Education,Healthcare,Hospitality",,,
fortytwo.tickets,available,56,17%,9,Mathematics,,,
accoutered.tickets,available,56,0%,10,"Fashion,Manufacturing,Retail",,,
fiftysix.tickets,available,56,4%,9,Mathematics,,,
xxxviii.tickets,available,56,1%,7,Mathematics,,,
maledict.tickets,available,56,1%,8,Religion,,,
abeyant.tickets,available,56,1%,7,"Business,Law",,,
thirtyone.tickets,available,56,5%,10,Mathematics,,,
xxxvii.tickets,available,56,2%,6,Mathematics,,,
fiftyfour.tickets,available,56,3%,10,Mathematics,,,
xxxiii.tickets,available,56,2%,6,Mathematics,,,
thirtytwo.tickets,available,56,5%,10,Mathematics,,,
potbellied.tickets,available,56,0%,10,"Health and Fitness,Medicine",,,
xlvi.tickets,available,56,3%,4,Mathematics,,,
xxxv.tickets,available,56,4%,4,Mathematics,,,
admissive.tickets,available,56,1%,9,"Education,Healthcare,Hospitality",,,
xli.tickets,available,56,5%,3,Mathematics,,,
xliii.tickets,available,56,1%,5,Mathematics,,,
xxiv.tickets,available,56,5%,4,Mathematics,,,
xliv.tickets,available,56,2%,4,Mathematics,,,
fiftytwo.tickets,available,56,6%,9,Mathematics,,,
liii.tickets,available,56,4%,4,Mathematics,,,
fortyone.tickets,available,56,4%,9,Mathematics,,,
addled.tickets,available,56,2%,6,Entertainment,,,
fiftynine.tickets,available,56,4%,10,Mathematics,,,
fiftyone.tickets,available,56,7%,9,Mathematics,,,
xxxi.tickets,available,56,9%,4,Mathematics,,,
xlviii.tickets,available,56,1%,6,Mathematics,,,
thirtysix.tickets,available,56,5%,10,Mathematics,,,
appressed.tickets,available,56,0%,9,"Agriculture,Manufacturing,Retail",,,
xxviii.tickets,available,56,1%,6,Mathematics,,,
halfdozen.tickets,available,56,1%,10,Mathematics,,,
xlii.tickets,available,56,5%,4,Mathematics,,,
abdominous.tickets,available,56,0%,10,"Health and Fitness,Medicine",,,
xlvii.tickets,available,56,2%,5,Mathematics,,,
xlv.tickets,available,56,6%,3,Mathematics,,,
xxxvi.tickets,available,56,1%,5,Mathematics,,,
lviii.tickets,available,56,1%,5,Mathematics,,,
ilx.tickets,available,56,5%,3,Mathematics,,,
lvii.tickets,available,56,1%,4,Mathematics,,,
admittable.tickets,available,56,1%,10,"Education,Healthcare,Hospitality",,,
fortynine.tickets,available,56,3%,10,Mathematics,,,
xxxiv.tickets,available,56,1%,5,Mathematics,,,
xxix.tickets,available,56,4%,4,Mathematics,,,
xxvii.tickets,available,56,3%,5,Mathematics,,,
accentual.tickets,available,54,3%,9,"Arts,Entertainment",,,
abasic.tickets,available,54,1%,6,Science,,,
achromatic.tickets,available,54,4%,10,Science,,,
sise.tickets,available,54,5%,4,Mathematics,,,
abatable.tickets,available,54,1%,8,Law,,,
ternion.tickets,available,54,3%,7,Mathematics,,,
achy.tickets,available,54,3%,4,Healthcare,,,
twoscore.tickets,available,54,2%,8,Mathematics,,,
quaternion.tickets,available,54,6%,10,Mathematics,,,
fortyfive.tickets,available,54,4%,10,Mathematics,,,
quaternity.tickets,available,54,4%,10,Mathematics,,,
viii.tickets,available,54,6%,4,Mathematics,,,
aboral.tickets,available,54,2%,6,Science,,,
monitory.tickets,available,54,3%,8,"Business,Education,Healthcare",,,
acoustical.tickets,available,54,4%,10,Science,,,
abatic.tickets,available,54,1%,6,Science,,,
adaxial.tickets,available,54,2%,7,Science,,,
actuated.tickets,available,54,2%,8,"Automotive,Manufacturing,Technology",,,
admonitory.tickets,available,54,0%,10,"Business,Education,Healthcare",,,
abducens.tickets,available,54,1%,8,Medicine,,,
adductive.tickets,available,54,0%,9,"Engineering,Mathematics,Science",,,
accursed.tickets,available,54,3%,8,"Entertainment,Media,Religion",,,
quintuplet.tickets,available,54,1%,10,"Healthcare,Medicine,Science",,,
threescore.tickets,available,54,1%,10,Mathematics,,,
abient.tickets,available,54,1%,6,Science,,,
unnatural.tickets,available,54,4%,9,"Medicine,Science",,,
vii.tickets,available,54,13%,3,Mathematics,,,
quadruplet.tickets,available,54,1%,10,"Healthcare,Medicine,Science",,,
abhorrent.tickets,available,54,1%,9,Humanities,,,
adducent.tickets,available,54,1%,8,"Engineering,Mathematics,Science",,,
adjuratory.tickets,available,54,0%,10,"Law,Politics,Religion",,,
adducting.tickets,available,54,1%,9,"Engineering,Mathematics,Science",,,
deuceace.tickets,available,54,2%,9,Sports,,,
abaxial.tickets,available,54,1%,7,Science,,,
fin.tickets,available,54,30%,3,Finance,,,
iii.tickets,available,54,24%,3,Mathematics,,,
adpressed.tickets,available,54,0%,9,"Agriculture,Manufacturing,Retail",,,
topnotch.tickets,available,54,18%,8,Business,,,
deserted.tickets,available,54,3%,8,"Hospitality,Real Estate",,,
scratchy.tickets,available,54,3%,8,Fashion,,,
quatern.tickets,available,54,2%,7,Mathematics,,,
sestet.tickets,available,53,1%,6,Arts,,,
septet.tickets,available,53,1%,6,General,,,
xxx.tickets,available,53,30%,3,"Arts,Entertainment,Media",,,
abusive.tickets,available,52,3%,7,"Healthcare,Law",,,
repugnant.tickets,available,52,1%,9,Humanities,,,
ninetyone.tickets,available,52,5%,10,Mathematics,,,
chagrined.tickets,available,52,1%,9,Humanities,,,
xcvii.tickets,available,52,1%,5,Mathematics,,,
xciii.tickets,available,52,1%,5,Mathematics,,,
xcii.tickets,available,52,2%,4,Mathematics,,,
eightytwo.tickets,available,52,4%,10,Mathematics,,,
ninetysix.tickets,available,52,4%,10,Mathematics,,,
decumbent.tickets,available,52,1%,9,"Healthcare,Medicine,Science",,,
lxxvii.tickets,available,52,2%,6,Mathematics,,,
xci.tickets,available,52,4%,3,Mathematics,,,
lxviii.tickets,available,52,1%,6,Mathematics,,,
lxiii.tickets,available,52,2%,5,Mathematics,,,
lxvii.tickets,available,52,1%,5,Mathematics,,,
lxxiv.tickets,available,52,1%,5,Mathematics,,,
lxiv.tickets,available,52,3%,4,Mathematics,,,
sixtysix.tickets,available,52,4%,9,Mathematics,,,
ablated.tickets,available,52,1%,7,Science,,,
repulsive.tickets,available,52,1%,9,Humanities,,,
xcv.tickets,available,52,7%,3,Mathematics,,,
lxxxii.tickets,available,52,1%,6,Mathematics,,,
lxv.tickets,available,52,5%,3,Mathematics,,,
lxxxi.tickets,available,52,1%,5,Mathematics,,,
abominable.tickets,available,52,2%,10,"Entertainment,Humanities",,,
abysmal.tickets,available,52,4%,7,"Arts,Entertainment,Media",,,
adenoidal.tickets,available,52,1%,9,"Health and Fitness,Medicine,Science",,,
aboulic.tickets,available,52,1%,7,Medicine,,,
odious.tickets,available,52,2%,6,"Entertainment,Humanities",,,
lxxi.tickets,available,52,1%,4,Mathematics,,,
lxxxvii.tickets,available,52,1%,7,Mathematics,,,
detestable.tickets,available,52,1%,10,Humanities,,,
lxxxv.tickets,available,52,1%,5,Mathematics,,,
lxvi.tickets,available,52,3%,4,Mathematics,,,
xcvi.tickets,available,52,2%,4,Mathematics,,,
tierce.tickets,available,52,3%,6,General,,,
lxxxiv.tickets,available,52,1%,6,Mathematics,,,
xcviii.tickets,available,52,1%,6,Mathematics,,,
lxxxvi.tickets,available,52,1%,6,Mathematics,,,
littlejoe.tickets,available,52,2%,10,"Entertainment,Media",,,
lxxxiii.tickets,available,52,1%,7,Mathematics,,,
abstruse.tickets,available,52,5%,8,"Humanities,Mathematics,Science",,,
sixtyfive.tickets,available,52,3%,10,Mathematics,,,
lxii.tickets,available,52,1%,4,Mathematics,,,
ixc.tickets,available,52,5%,3,Mathematics,,,
sixtytwo.tickets,available,52,3%,9,Mathematics,,,
uphill.tickets,available,52,7%,6,"Sports,Transportation,Travel",,,
sixtyfour.tickets,available,52,3%,10,Mathematics,,,
ninetytwo.tickets,available,52,4%,10,Mathematics,,,
lxxvi.tickets,available,52,1%,5,Mathematics,,,
lxxii.tickets,available,52,1%,5,Mathematics,,,
xciv.tickets,available,52,2%,4,Mathematics,,,
lxxv.tickets,available,52,1%,4,Mathematics,,,
eightyone.tickets,available,52,3%,10,Mathematics,,,
lxi.tickets,available,52,5%,3,Mathematics,,,
lxxiii.tickets,available,52,1%,6,Mathematics,,,
ixl.tickets,available,52,9%,3,Mathematics,,,
triplet.tickets,available,50,8%,7,Science,,,
acerose.tickets,available,50,1%,7,Science,,,
broached.tickets,available,50,0%,8,Food and Beverage,,,
gillless.tickets,available,50,0%,9,Science,,,
aculeated.tickets,available,50,0%,9,"Engineering,Medicine,Science",,,
vinegary.tickets,available,50,1%,8,Food and Beverage,,,
acquitted.tickets,available,50,1%,9,Law,,,
abomasal.tickets,available,50,0%,8,Agriculture,,,
abbatial.tickets,available,50,0%,8,Religion,,,
scummy.tickets,available,50,1%,6,Humanities,,,
abdicable.tickets,available,50,0%,9,Law,,,
trine.tickets,available,50,11%,5,"General,Religion",,,
cinque.tickets,available,50,7%,6,Mathematics,,,
adactylous.tickets,available,50,0%,10,Science,,,
ogdoad.tickets,available,50,1%,6,Mathematics,,,
needlelike.tickets,available,50,0%,10,"Engineering,Medicine,Science",,,
acapnotic.tickets,available,50,0%,9,"Healthcare,Medicine,Science",,,
abranchial.tickets,available,50,0%,10,Science,,,
lxx.tickets,available,50,5%,3,Mathematics,,,
acellular.tickets,available,50,1%,9,Science,,,
spinous.tickets,available,50,1%,7,"Agriculture,Science",,,
acerb.tickets,available,50,2%,5,Science,,,
abactinal.tickets,available,50,0%,9,Science,,,
adhominem.tickets,available,50,2%,10,"Humanities,Law,Politics",,,
abducting.tickets,available,50,0%,9,Medicine,,,
acaudal.tickets,available,50,1%,7,"Agriculture,Science",,,
acerbic.tickets,available,50,2%,7,"Arts,Humanities,Media",,,
acetous.tickets,available,50,1%,7,Science,,,
acetose.tickets,available,50,1%,7,Science,,,
acapnic.tickets,available,50,0%,7,"Healthcare,Medicine,Science",,,
aborticide.tickets,available,50,0%,10,Medicine,,,
quint.tickets,available,50,13%,5,"Arts,Entertainment",,,
lxxxviii.tickets,available,48,1%,8,Mathematics,,,
execrable.tickets,available,48,0%,9,"Entertainment,Humanities",,,
abstracted.tickets,available,48,5%,10,"Arts,Humanities,Science",,,
apriori.tickets,available,48,13%,8,Mathematics,,,
ilxxx.tickets,available,48,1%,5,Mathematics,,,
abyssal.tickets,available,48,12%,7,"Arts,Entertainment,Media",,,
ilxx.tickets,available,48,1%,4,Mathematics,,,
notguilty.tickets,available,48,5%,10,Law,,,
acarpelous.tickets,available,46,0%,10,"Agriculture,Science",,,
theabsurd.tickets,available,46,1%,10,"Arts,Entertainment,Media",,,
quaternary.tickets,available,46,3%,10,Mathematics,,,
acetonic.tickets,available,46,1%,8,Science,,,
stripling.tickets,available,46,2%,9,"Education,Entertainment,Healthcare",,,
vinegarish.tickets,available,46,1%,10,Food and Beverage,,,
acarpous.tickets,available,46,0%,8,"Agriculture,Science",,,
acapnial.tickets,available,46,0%,8,"Healthcare,Medicine,Science",,,
acanthous.tickets,available,46,0%,9,"Agriculture,Science",,,
acaudate.tickets,available,46,1%,8,"Agriculture,Science",,,
acanthoid.tickets,available,46,1%,9,"Agriculture,Science",,,
achromic.tickets,available,46,2%,8,Science,,,
acetylic.tickets,available,46,1%,8,Science,,,
acephalous.tickets,available,46,1%,10,Science,,,
acheronian.tickets,available,46,1%,10,Humanities,,,
achenial.tickets,available,46,1%,8,Science,,,
acetabular.tickets,available,46,1%,10,Science,,,
cotyloid.tickets,available,46,1%,8,Science,,,
acicular.tickets,available,46,2%,8,Science,,,
stemless.tickets,available,46,2%,8,"Agriculture,Science",,,
acanthotic.tickets,available,46,0%,10,"Agriculture,Science",,,
achromous.tickets,available,46,1%,9,Science,,,
acetylenic.tickets,available,46,1%,10,Science,,,
accusatory.tickets,available,44,1%,10,Law,,,
cotyloidal.tickets,available,44,1%,10,Science,,,
acherontic.tickets,available,44,1%,10,Humanities,,,
abscessed.tickets,available,41,0%,9,Healthcare,,,
phoebe.tickets,available,41,14%,6,Science,,,
scurrilous.tickets,available,40,1%,10,"Entertainment,Media,Politics",,,
accurst.tickets,available,40,1%,7,Religion,,,
accusive.tickets,available,40,1%,8,Law,,,